date,steps,distance_miles,journey_id,character,segment,cumulative_miles,cumulative_steps,all_time_cumulative_miles,all_time_cumulative_steps
2024-06-19,16454,6.773253040257042,Mordor,Frodo,The Fellowship,538.7903172505465,1374487.0,538.7903172505465,1374487
2024-06-20,26460,11.163969820115849,Mordor,Frodo,The Fellowship,549.9542870706624,1400947.0,549.9542870706624,1400947
2024-06-21,15773,6.718460533837615,Mordor,Frodo,The Fellowship,556.6727476045,1416720.0,556.6727476045,1416720
2024-06-22,17469,7.164112498545442,Mordor,Frodo,The Fellowship,563.8368601030455,1434189.0,563.8368601030455,1434189
2024-06-23,18886,6.9239852273693945,Mordor,Frodo,The Fellowship,570.7608453304149,1453075.0,570.7608453304149,1453075
2024-06-24,28160,11.356139364240706,Mordor,Frodo,The Fellowship,582.1169846946556,1481235.0,582.1169846946556,1481235
2024-06-25,25681,10.638638787166977,Mordor,Frodo,The Fellowship,592.7556234818226,1506916.0,592.7556234818226,1506916
2024-06-26,19758,8.25567773894874,Mordor,Frodo,The Fellowship,601.0113012207713,1526674.0,601.0113012207713,1526674
2024-06-27,8970,3.467494139381777,Mordor,Frodo,The Fellowship,604.4787953601531,1535644.0,604.4787953601531,1535644
2024-06-28,10473,4.3274701574223275,Mordor,Frodo,The Fellowship,608.8062655175754,1546117.0,608.8062655175754,1546117
2024-06-29,30007,11.951973339533328,Mordor,Frodo,The Fellowship,620.7582388571087,1576124.0,620.7582388571087,1576124
2024-06-30,21468,8.123085527357953,Mordor,Frodo,The Fellowship,628.8813243844667,1597592.0,628.8813243844667,1597592
2024-07-01,12960,5.435817560064705,Mordor,Frodo,The Fellowship,634.3171419445314,1610552.0,634.3171419445314,1610552
2024-07-02,18446,7.824589384191939,Mordor,Frodo,The Fellowship,642.1417313287233,1628998.0,642.1417313287234,1628998
2024-07-03,13122,5.217825789110519,Mordor,Frodo,The Fellowship,647.3595571178338,1642120.0,647.3595571178339,1642120
2024-07-04,22187,8.822368679792655,Mordor,Frodo,The Fellowship,656.1819257976265,1664307.0,656.1819257976266,1664307
2024-07-05,23288,9.798904457948769,Mordor,Frodo,The Fellowship,665.9808302555753,1687595.0,665.9808302555754,1687595
2024-07-06,19432,8.166570940105466,Mordor,Frodo,The Fellowship,674.1474011956807,1707027.0,674.1474011956808,1707027
2024-07-07,22873,8.870356185253488,Mordor,Frodo,The Fellowship,683.0177573809342,1729900.0,683.0177573809343,1729900
2024-07-08,26008,10.839676004591183,Mordor,Frodo,The Fellowship,693.8574333855254,1755908.0,693.8574333855255,1755908
2024-07-09,24083,10.262868108812066,Mordor,Frodo,The Fellowship,704.1203014943375,1779991.0,704.1203014943376,1779991
2024-07-10,28884,12.143897458586295,Mordor,Frodo,The Fellowship,716.2641989529237,1808875.0,716.2641989529238,1808875
2024-07-11,21354,8.837472339159833,Mordor,Frodo,The Fellowship,725.1016712920836,1830229.0,725.1016712920837,1830229
2024-07-12,15569,6.712743958450546,Mordor,Frodo,The Fellowship,731.8144152505341,1845798.0,731.8144152505342,1845798
2024-07-13,19152,7.2158991147280105,Mordor,Frodo,The Fellowship,739.0303143652621,1864950.0,739.0303143652623,1864950
