date,journey_id,character,segment,distance_miles,cumulative_miles,all_time_cumulative_miles
2024-03-27,Mordor,Frodo,The Shire,7.1574,7.1574,7.1574
2024-03-28,Mordor,Frodo,The Shire,3.9363,11.0938,11.0938
2024-03-29,Mordor,Frodo,The Shire,7.7227,18.8165,18.8165
2024-03-30,Mordor,Frodo,The Shire,6.8843,25.7008,25.7008
2024-03-31,Mordor,Frodo,The Shire,4.6431,30.3439,30.3439
2024-04-01,Mordor,Frodo,The Shire,3.7402,34.0842,34.0842
2024-04-02,Mordor,Frodo,The Shire,0.9770,35.0612,35.0612
2024-04-03,Mordor,Frodo,The Shire,0.5500,35.6112,35.6112
2024-04-04,Mordor,Frodo,The Shire,0.2527,35.8639,35.8639
2024-04-05,Mordor,Frodo,The Shire,5.1016,40.9655,40.9655
2024-04-06,Mordor,Frodo,The Shire,0.4110,41.3765,41.3765
2024-04-07,Mordor,Frodo,The Shire,5.3067,46.6833,46.6833
2024-04-08,Mordor,Frodo,The Shire,5.3804,52.0636,52.0636
2024-04-09,Mordor,Frodo,The Shire,4.8413,56.9049,56.9049
2024-04-10,Mordor,Frodo,The Shire,0.3374,57.2423,57.2423
2024-04-11,Mordor,Frodo,The Shire,2.1663,59.4086,59.4086
2024-04-12,Mordor,Frodo,The Shire,5.8543,65.2629,65.2629
2024-04-13,Mordor,Frodo,The Shire,3.1735,68.4364,68.4364
2024-04-14,Mordor,Frodo,The Shire,5.7396,74.1760,74.1760
2024-04-15,Mordor,Frodo,The Shire,9.2254,83.4014,83.4014
2024-04-16,Mordor,Frodo,The Shire,5.4613,88.8627,88.8627
2024-04-17,Mordor,Frodo,The Shire,3.6823,92.5450,92.5450
2024-04-18,Mordor,Frodo,The Shire,5.7453,98.2903,98.2903
2024-04-19,Mordor,Frodo,The Shire,3.9837,102.2739,102.2739
2024-04-20,Mordor,Frodo,The Shire,5.0556,107.3295,107.3295
2024-04-21,Mordor,Frodo,The Shire,7.0483,114.3779,114.3779
2024-04-22,Mordor,Frodo,The Shire,8.6473,123.0251,123.0251
2024-04-23,Mordor,Frodo,The Shire,2.5216,125.5468,125.5468
2024-04-24,Mordor,Frodo,The Shire,8.4781,134.0249,134.0249
2024-04-25,Mordor,Frodo,The Shire,5.3916,139.4165,139.4165
2024-04-26,Mordor,Frodo,The Shire,1.2109,140.6274,140.6274
2024-04-27,Mordor,Frodo,The Shire,4.1121,144.7395,144.7395
2024-04-28,Mordor,Frodo,The Shire,4.4575,149.1970,149.1970
2024-04-29,Mordor,Frodo,The Fellowship,11.9273,161.1243,161.1243
2024-04-30,Mordor,Frodo,The Fellowship,0.6725,161.7967,161.7967
2024-05-01,Mordor,Frodo,The Fellowship,7.6837,169.4805,169.4805
2024-05-02,Mordor,Frodo,The Fellowship,4.8161,174.2966,174.2966
2024-05-03,Mordor,Frodo,The Fellowship,8.1317,182.4283,182.4283
2024-05-04,Mordor,Frodo,The Fellowship,8.0163,190.4446,190.4446
2024-05-05,Mordor,Frodo,The Fellowship,7.5431,197.9877,197.9877
2024-05-06,Mordor,Frodo,The Fellowship,5.8001,203.7878,203.7878
2024-05-07,Mordor,Frodo,The Fellowship,2.5510,206.3388,206.3388
2024-05-08,Mordor,Frodo,The Fellowship,5.0453,211.3841,211.3841
2024-05-09,Mordor,Frodo,The Fellowship,3.8841,215.2681,215.2681
2024-05-10,Mordor,Frodo,The Fellowship,1.9364,217.2045,217.2045
2024-05-11,Mordor,Frodo,The Fellowship,6.9756,224.1802,224.1802
2024-05-12,Mordor,Frodo,The Fellowship,6.4041,230.5842,230.5842
2024-05-13,Mordor,Frodo,The Fellowship,11.4521,242.0363,242.0363
2024-05-14,Mordor,Frodo,The Fellowship,9.3610,251.3973,251.3973
2024-05-15,Mordor,Frodo,The Fellowship,5.3884,256.7857,256.7857
2024-05-16,Mordor,Frodo,The Fellowship,9.2066,265.9923,265.9923
2024-05-17,Mordor,Frodo,The Fellowship,12.8613,278.8536,278.8536
2024-05-18,Mordor,Frodo,The Fellowship,8.0818,286.9353,286.9353
2024-05-19,Mordor,Frodo,The Fellowship,9.6671,296.6024,296.6024
2024-05-20,Mordor,Frodo,The Fellowship,17.3668,313.9693,313.9693
2024-05-21,Mordor,Frodo,The Fellowship,11.0814,325.0507,325.0507
2024-05-22,Mordor,Frodo,The Fellowship,5.2097,330.2604,330.2604
2024-05-23,Mordor,Frodo,The Fellowship,8.5952,338.8556,338.8556
2024-05-24,Mordor,Frodo,The Fellowship,8.7015,347.5572,347.5572
2024-05-25,Mordor,Frodo,The Fellowship,6.5928,354.1500,354.1500
2024-05-26,Mordor,Frodo,The Fellowship,8.8293,362.9793,362.9793
2024-05-27,Mordor,Frodo,The Fellowship,11.8172,374.7965,374.7965
2024-05-28,Mordor,Frodo,The Fellowship,10.4921,385.2886,385.2886
2024-05-29,Mordor,Frodo,The Fellowship,5.8185,391.1071,391.1071
2024-05-30,Mordor,Frodo,The Fellowship,5.8826,396.9896,396.9896
2024-05-31,Mordor,Frodo,The Fellowship,5.6831,402.6728,402.6728
2024-06-01,Mordor,Frodo,The Fellowship,7.9210,410.5938,410.5938
2024-06-02,Mordor,Frodo,The Fellowship,11.5847,422.1784,422.1784
2024-06-03,Mordor,Frodo,The Fellowship,8.8202,430.9987,430.9987
2024-06-04,Mordor,Frodo,The Fellowship,11.6119,442.6106,442.6106
2024-06-05,Mordor,Frodo,The Fellowship,2.6014,445.2120,445.2120
2024-06-06,Mordor,Frodo,The Fellowship,6.7451,451.9570,451.9570
2024-06-07,Mordor,Frodo,The Fellowship,6.5030,458.4600,458.4600
2024-06-08,Mordor,Frodo,The Fellowship,7.2772,465.7372,465.7372
2024-06-09,Mordor,Frodo,The Fellowship,10.3821,476.1193,476.1193
2024-06-10,Mordor,Frodo,The Fellowship,3.3386,479.4579,479.4579
2024-06-11,Mordor,Frodo,The Fellowship,1.8655,481.3234,481.3234
2024-06-12,Mordor,Frodo,The Fellowship,1.4222,482.7456,482.7456
2024-06-13,Mordor,Frodo,The Fellowship,7.4086,490.1542,490.1542
2024-06-14,Mordor,Frodo,The Fellowship,9.3113,499.4655,499.4655
2024-06-15,Mordor,Frodo,The Fellowship,8.8853,508.3508,508.3508
2024-06-16,Mordor,Frodo,The Fellowship,11.9534,520.3042,520.3042
2024-06-17,Mordor,Frodo,The Fellowship,4.2192,524.5234,524.5234
2024-06-18,Mordor,Frodo,The Fellowship,7.4937,532.0171,532.0171
2024-06-19,Mordor,Frodo,The Fellowship,6.7733,538.7903,538.7903
2024-06-20,Mordor,Frodo,The Fellowship,11.1640,549.9543,549.9543
2024-06-21,Mordor,Frodo,The Fellowship,6.7185,556.6727,556.6727
2024-06-22,Mordor,Frodo,The Fellowship,7.1641,563.8369,563.8369
2024-06-23,Mordor,Frodo,The Fellowship,6.9240,570.7608,570.7608
2024-06-24,Mordor,Frodo,The Fellowship,11.3561,582.1170,582.1170
2024-06-25,Mordor,Frodo,The Fellowship,10.6386,592.7556,592.7556
2024-06-26,Mordor,Frodo,The Fellowship,8.2557,601.0113,601.0113
2024-06-27,Mordor,Frodo,The Fellowship,3.4675,604.4788,604.4788
2024-06-28,Mordor,Frodo,The Fellowship,4.3275,608.8063,608.8063
2024-06-29,Mordor,Frodo,The Fellowship,11.9520,620.7582,620.7582
2024-06-30,Mordor,Frodo,The Fellowship,8.1231,628.8813,628.8813
2024-07-01,Mordor,Frodo,The Fellowship,5.4358,634.3171,634.3171
2024-07-02,Mordor,Frodo,The Fellowship,7.8246,642.1417,642.1417
2024-07-03,Mordor,Frodo,The Fellowship,5.2178,647.3596,647.3596
2024-07-04,Mordor,Frodo,The Fellowship,8.8224,656.1819,656.1819
2024-07-05,Mordor,Frodo,The Fellowship,9.7989,665.9808,665.9808
2024-07-06,Mordor,Frodo,The Fellowship,8.1666,674.1474,674.1474
2024-07-07,Mordor,Frodo,The Fellowship,8.8704,683.0178,683.0178
2024-07-08,Mordor,Frodo,The Fellowship,10.8397,693.8574,693.8574
2024-07-09,Mordor,Frodo,The Fellowship,10.2629,704.1203,704.1203
2024-07-10,Mordor,Frodo,The Fellowship,12.1439,716.2642,716.2642
2024-07-11,Mordor,Frodo,The Fellowship,8.8375,725.1017,725.1017
2024-07-12,Mordor,Frodo,The Fellowship,6.7127,731.8144,731.8144
2024-07-13,Mordor,Frodo,The Fellowship,7.2159,739.0303,739.0303
2024-07-14,Mordor,Frodo,The Fellowship,9.6458,748.6761,748.6761
2024-07-15,Mordor,Frodo,The Fellowship,7.8674,756.5435,756.5435
2024-07-16,Mordor,Frodo,The Fellowship,7.3135,763.8570,763.8570
2024-07-17,Mordor,Frodo,The Fellowship,6.8396,770.6966,770.6966
2024-07-18,Mordor,Frodo,The Fellowship,7.5899,778.2864,778.2864
2024-07-19,Mordor,Frodo,The Fellowship,7.9576,786.2441,786.2441
2024-07-20,Mordor,Frodo,The Fellowship,8.5030,794.7470,794.7470
2024-07-21,Mordor,Frodo,The Fellowship,7.8085,802.5555,802.5555
2024-07-22,Mordor,Frodo,The Fellowship,10.2076,812.7631,812.7631
2024-07-23,Mordor,Frodo,The Fellowship,9.1432,821.9064,821.9064
2024-07-24,Mordor,Frodo,Mines of Moria,7.4095,829.3159,829.3159
2024-07-25,Mordor,Frodo,Mines of Moria,10.2583,839.5742,839.5742
2024-07-26,Mordor,Frodo,Mines of Moria,9.5918,849.1660,849.1660
2024-07-27,Mordor,Frodo,Mines of Moria,8.9811,858.1471,858.1471
2024-07-28,Mordor,Frodo,Mines of Moria,9.6281,867.7752,867.7752
2024-07-29,,,,1.8688,,869.6441
2024-07-30,,,,2.1916,,871.8357
2024-07-31,,,,4.2663,,876.1020
2024-08-01,,,,2.8799,,878.9819
2024-08-02,,,,0.0505,,879.0324
2024-08-03,,,,1.1815,,880.2139
2024-08-04,,,,4.7023,,884.9162
2024-08-05,,,,2.4355,,887.3517
2024-08-06,,,,2.6305,,889.9822
2024-08-07,,,,0.1226,,890.1048
2024-08-08,,,,4.3961,,894.5009
2024-08-09,,,,1.5829,,896.0838
2024-08-10,,,,2.6433,,898.7271
2024-08-11,,,,2.9823,,901.7094
2024-08-12,,,,1.5156,,903.2250
2024-08-13,,,,0.9007,,904.1257
2024-08-14,,,,1.5114,,905.6371
2024-08-15,,,,2.8804,,908.5175
2024-08-16,,,,6.0822,,914.5997
2024-08-17,,,,6.0390,,920.6387
2024-08-18,,,,3.6375,,924.2762
2024-08-19,,,,3.1573,,927.4336
2024-08-20,,,,4.7734,,932.2069
2024-08-21,,,,2.8252,,935.0321
2024-08-22,,,,0.8535,,935.8856
2024-08-23,,,,4.1973,,940.0829
2024-08-24,Mordor,Frodo,The Eye of Sauron,7.4203,875.1956,947.5032
2024-08-25,Mordor,Frodo,The Eye of Sauron,8.2952,883.4907,955.7984
2024-08-26,Mordor,Frodo,The Eye of Sauron,11.1505,894.6412,966.9489
2024-08-27,Mordor,Frodo,The Eye of Sauron,13.1285,907.7697,980.0773
2024-08-28,Mordor,Frodo,The Eye of Sauron,14.0793,921.8489,994.1566
2024-08-29,Mordor,Frodo,The Eye of Sauron,6.9109,928.7599,1001.0675
2024-08-30,Mordor,Frodo,The Eye of Sauron,1.0840,929.8439,1002.1515
2024-08-31,Mordor,Frodo,The Eye of Sauron,9.0838,938.9277,1011.2353
2024-09-01,Mordor,Frodo,The Eye of Sauron,12.3426,951.2703,1023.5779
2024-09-02,Mordor,Frodo,The Eye of Sauron,7.2059,958.4761,1030.7838
2024-09-03,Mordor,Frodo,The Eye of Sauron,6.9843,965.4605,1037.7681
2024-09-04,Mordor,Frodo,The Eye of Sauron,2.0255,967.4860,1039.7936
2024-09-05,Mordor,Frodo,The Eye of Sauron,4.0419,971.5279,1043.8355
2024-09-06,Mordor,Frodo,The Eye of Sauron,3.7887,975.3165,1047.6241
2024-09-07,Mordor,Frodo,The Eye of Sauron,2.7287,978.0452,1050.3529
2024-09-08,Mordor,Frodo,The Eye of Sauron,6.3244,984.3696,1056.6772
2024-09-09,Mordor,Frodo,The Eye of Sauron,5.1742,989.5438,1061.8514
2024-09-10,Mordor,Frodo,The Eye of Sauron,5.0427,994.5865,1066.8942
2024-09-11,Mordor,Frodo,The Eye of Sauron,1.9424,996.5290,1068.8366
2024-09-12,Mordor,Frodo,The Eye of Sauron,8.9202,1005.4492,1077.7568
2024-09-13,Mordor,Frodo,The Eye of Sauron,3.6972,1009.1463,1081.4540
2024-09-14,Mordor,Frodo,The Eye of Sauron,1.2064,1010.3527,1082.6604
2024-09-15,Mordor,Frodo,The Eye of Sauron,4.4460,1014.7987,1087.1064
2024-09-16,Mordor,Frodo,The Eye of Sauron,2.7895,1017.5882,1089.8959
2024-09-17,Mordor,Frodo,The Eye of Sauron,4.6125,1022.2008,1094.5084
2024-09-18,Mordor,Frodo,The Eye of Sauron,4.8746,1027.0754,1099.3830
2024-09-19,Mordor,Frodo,The Eye of Sauron,8.6130,1035.6884,1107.9960
2024-09-20,Mordor,Frodo,The Eye of Sauron,13.5388,1049.2272,1121.5348
2024-09-21,Mordor,Frodo,The Eye of Sauron,9.2191,1058.4462,1130.7538
2024-09-22,Mordor,Frodo,The Eye of Sauron,8.1816,1066.6278,1138.9354
2024-09-23,Mordor,Frodo,The Eye of Sauron,5.8882,1072.5160,1144.8236
2024-09-24,Mordor,Frodo,The Eye of Sauron,2.9235,1075.4395,1147.7472
2024-09-25,Mordor,Frodo,The Eye of Sauron,5.6891,1081.1287,1153.4363
2024-09-26,Mordor,Frodo,The Eye of Sauron,2.9729,1084.1016,1156.4093
2024-09-27,Mordor,Frodo,The Eye of Sauron,3.0240,1087.1257,1159.4333
2024-09-28,Mordor,Frodo,The Eye of Sauron,3.2282,1090.3538,1162.6615
2024-09-29,Mordor,Frodo,The Eye of Sauron,8.9932,1099.3470,1171.6547
2024-09-30,Mordor,Frodo,The Eye of Sauron,1.2935,1100.6406,1172.9482
2024-10-01,Mordor,Frodo,The Eye of Sauron,9.1748,1109.8154,1182.1230
2024-10-02,Mordor,Frodo,The Eye of Sauron,4.5747,1114.3900,1186.6977
